idx,name,ortho,phono
1883,1883,blackhead,bl@khEd
1885,1885,bladder,bl@dX
1886,1886,blade,bled
1887,1887,blain,blen
1888,1888,blame,blem
1889,1889,blanch,bl@nC
1891,1891,bland,bl@nd
1893,1893,blank,bl@Gk
1895,1895,blare,blEr
1900,1900,blast,bl@st
1901,1901,blatant,bletNt
1902,1902,blather,bl@DX
1903,1903,blaze,blez
1904,1904,blazer,blezX
1905,1905,blazon,blezN
1906,1906,bleach,bliC
1908,1908,bleak,blik
1909,1909,blear,blIr
1910,1910,bleary,blIri
1911,1911,bleat,blit
1912,1912,bled,blEd
1913,1913,bleed,blid
1915,1915,blench,blEnC
1916,1916,blend,blEnd
1917,1917,bless,blEs
1918,1918,blessed,blEst
1919,1919,blew,blu
1920,1920,blight,blYt
1921,1921,blimp,blImp
1922,1922,blind,blYnd
1924,1924,blink,blIGk
1925,1925,blinker,blIGkX
1926,1926,blintz,blInts
1927,1927,blintze,blIntsx
1928,1928,bliss,blIs
1929,1929,blister,blIstX
1930,1930,blithe,blYT
1931,1931,blitz,blIts
1933,1933,blizzard,blIzXd
1934,1934,bloat,blot
1935,1935,bloater,blotX
1936,1936,blob,blab
1937,1937,bloc,blak
1940,1940,blockhead,blakhEd
1941,1941,blonde,bland
1942,1942,blood,bl^d
1945,1945,bloom,blum
1947,1947,blooper,blupX
1949,1949,blot,blat
1950,1950,blotch,blaC
1951,1951,blotter,blatX
1952,1952,blouse,blWs
1953,1953,blow,blo
1955,1955,blown,blon
1956,1956,blowsy,blWzi
1958,1958,blowy,bloi
1959,1959,blubber,bl^bX
1960,1960,blucher,bluCX
1963,1963,blueing,bluIG
1966,1966,blues,bluz
1969,1969,bluff,bl^f
1970,1970,bluish,bluIS
1971,1971,blunder,bl^ndX
1972,1972,blunt,bl^nt
1973,1973,blur,blR
1974,1974,blurb,blRb
1975,1975,blurt,blRt
1976,1976,blush,bl^S
1977,1977,bluster,bl^stX
1978,1978,boa,box
1979,1979,boar,bor
1980,1980,board,bord
1981,1981,boast,bost
1982,1982,boat,bot
1984,1984,boatman,botmxn
1985,1985,boatswain,bosN
1986,1986,bob,bab
1987,1987,bobbin,bab|n
1988,1988,bobble,babL
1989,1989,bobby,babi
1994,1994,boccie,baCi
1995,1995,bock,bak
1996,1996,bode,bod
2001,2001,body,badi
2002,2002,bog,bcg
2004,2004,bogie,bUgi
2005,2005,bogus,bog|s
2007,2007,boil,bOl
2009,2009,bold,bold
2010,2010,bole,bol
2015,2015,bolo,bolo
2016,2016,bologna,bxloni
2019,2019,bolster,bolstX
2020,2020,bolt,bolt
2027,2027,bomber,bamX
2030,2030,bonanza,b|n@nzx
2032,2032,bond,band
2033,2033,bondage,bandIJ
2035,2035,bondman,bandmxn
2036,2036,bondsman,bandzmxn
2038,2038,bone,bon
2039,2039,boner,bonX
2044,2044,bonnet,ban|t
2045,2045,bonnie,bani
2047,2047,bonus,bon|s
2048,2048,boo,bu
2049,2049,booby,bubi
2050,2050,boodle,budL
2051,2051,book,bUk
2052,2052,booklet,bUkl|t
2053,2053,boom,bum
2056,2056,boon,bun
2058,2058,boost,bust
2059,2059,boot,but
2060,2060,booth,buT
2061,2061,booths,buDz
2062,2062,bootie,buti
2065,2065,booty,buti
2066,2066,booze,buz
2067,2067,borax,bor@ks
2068,2068,border,bordX
2069,2069,boreal,boriL
2071,2071,born,born
2072,2072,boron,boran
2073,2073,borough,bRo
2074,2074,borrow,baro
2076,2076,bosh,baS
2078,2078,bosom,bUzM
2079,2079,boss,bcs
2083,2083,botch,baC
2084,2084,both,boT
2085,2085,bother,baDX
2086,2086,bottle,batL
2087,2087,bottom,batM
2090,2090,bough,bW
2091,2091,bought,bct
2092,2092,boulder,boldX
2094,2094,bounce,bWns
2095,2095,bound,bWnd
2100,2100,bounty,bWnti
2101,2101,bouquet,boke
2102,2102,bourbon,bRb|n
2106,2106,bout,bWt
2107,2107,boutique,butik
2111,2111,bowel,bWL
2112,2112,bower,bWX
2114,2114,bowler,bolX
2115,2115,bowman,bomxn
2118,2118,box,baks
2119,2119,boy,bO
2121,2121,bra,bra
2122,2122,brace,bres
2124,2124,bracket,br@k|t
2126,2126,bract,br@kt
2127,2127,brad,br@d
2128,2128,brae,bre
2129,2129,brag,br@g
2133,2133,braid,bred
2134,2134,braille,brel
2135,2135,brain,bren
2136,2136,braise,brez
2137,2137,brake,brek
2138,2138,bramble,br@mbL
2139,2139,bran,br@n
2140,2140,branch,br@nC
2141,2141,brand,br@nd
2143,2143,brandy,br@ndi
2144,2144,brash,br@S
2145,2145,brass,br@s
2147,2147,brat,br@t
2149,2149,brave,brev
2153,2153,brawl,brcl
2154,2154,brawn,brcn
2155,2155,brazen,brezN
2156,2156,brazier,breZX
2158,2158,breach,briC
2159,2159,bread,brEd
2160,2160,breadth,brEdT
2167,2167,bream,brIm
2168,2168,breast,brEst
2171,2171,breath,brET
2172,2172,breathe,briD
2174,2174,breed,brid
2175,2175,breeze,briz
2181,2181,brew,bru
2182,2182,briar,brYX
2183,2183,bribe,brYb
2184,2184,brick,brIk
2185,2185,bridal,brYdL
2186,2186,bride,brYd
2188,2188,bridge,brIJ
2189,2189,brief,brif
2190,2190,brig,brIg
2194,2194,bright,brYt
2195,2195,brighten,brYtN
2200,2200,brine,brYn
2201,2201,bring,brIG
2202,2202,brink,brIGk
2203,2203,brio,brio
2204,2204,brioche,brioS
2206,2206,brisk,brIsk
2207,2207,brisket,brIsk|t
2208,2208,bristle,brIsL
2212,2212,Briton,brItN
2213,2213,brittle,brItL
2214,2214,broach,broC
2215,2215,broad,brcd
2216,2216,broaden,brcdN
2223,2223,brogue,brog
2225,2225,broil,brOl
2226,2226,broke,brok
2229,2229,broker,brokX
2237,2237,brood,brud
2238,2238,brook,brUk
2239,2239,broom,brum
2240,2240,broth,brcT
2243,2243,brougham,brom
2244,2244,brought,brct
2246,2246,brow,brW
2247,2247,brown,brWn
2248,2248,brownie,brWni
2250,2250,browse,brWz
2252,2252,bruise,bruz
2253,2253,bruit,brut
2254,2254,brunch,br^nC
2256,2256,brunt,br^nt
2257,2257,brush,br^S
2258,2258,brusque,br^sk
2259,2259,brutal,brutL
2261,2261,brutally,brutLi
2262,2262,bubble,b^bL
2265,2265,buck,b^k
