lower,node,ortho,phono,original,replace,delete_insert,pos_l50,pos_m50,all_cc,replace_cc,pos_l50_cc,pos_m50_cc
apeak,852,apeak,xpik,5,4,1,2,3,0.4,0.5,1,1
aphid,857,aphid,efxd,1,1,0,0,1,-1,-1,-1,-1
aphis,859,aphis,efxs,2,2,0,1,1,0,0,-1,-1
apiary,863,apiary,epiEri,1,1,0,1,0,-1,-1,-1,-1
apiece,865,apiece,xpis,5,4,1,1,4,0.3,0.5,-1,0.5
aplomb,866,aplomb,xpl^m,1,0,1,1,0,-1,-1,-1,-1
apogee,869,apogee,@pxJi,2,2,0,0,2,1,1,-1,1
aport,875,aport,xport,5,3,2,5,0,0.2,0,0.2,-1
apostate,877,apostate,xpastet,1,1,0,1,0,-1,-1,-1,-1
apostle,878,apostle,xpasL,1,1,0,0,1,-1,-1,-1,-1
appal,884,appal,xpcl,3,2,1,1,2,0,0,-1,0
apparent,888,apparent,xp@rxnt,1,0,1,1,0,-1,-1,-1,-1
appeal,890,appeal,xpil,6,5,1,2,4,0.2,0.3,0,0.5
appear,891,appear,xpIr,2,1,1,2,0,1,-1,1,-1
appease,893,appease,xpiz,5,4,1,1,4,0.3,0.5,-1,0.5
appellant,894,appellant,xpElxnt,1,0,1,0,1,-1,-1,-1,-1
appellate,895,appellate,xpElxt,1,0,1,0,1,-1,-1,-1,-1
appellee,897,appellee,@pxli,3,2,1,1,2,0.333333333,1,-1,1
append,898,append,xpEnd,7,6,1,7,0,0.333333333,0.466666667,0.333333333,-1
appertain,903,appertain,@pXten,2,1,1,2,0,0,-1,0,-1
applaud,906,applaud,xplcd,2,2,0,0,2,0,0,-1,0
applause,907,applause,xplcz,1,1,0,0,1,-1,-1,-1,-1
apple,908,apple,@pL,8,5,3,6,2,0.107142857,0.2,0.133333333,1
appliance,909,appliance,xplY|ns,1,0,1,1,0,-1,-1,-1,-1
applied,915,applied,xplYd,3,1,2,1,2,0,-1,-1,0
apply,917,apply,xplY,3,0,3,2,1,0,-1,0,-1
appoint,918,appoint,xpOnt,3,1,2,2,1,0,-1,0,-1
appointee,919,appointee,xpOnti,1,0,1,0,1,-1,-1,-1,-1
apportion,922,apportion,xporS|n,2,1,1,2,0,0,-1,0,-1
apposite,923,apposite,@pxz|t,1,1,0,1,0,-1,-1,-1,-1
apposition,924,apposition,@pxzIS|n,2,1,1,2,0,1,-1,1,-1
appositive,925,appositive,xpaz|tIv,1,0,1,1,0,-1,-1,-1,-1
appraise,926,appraise,xprez,3,2,1,2,1,0.333333333,0,1,-1
apprize,933,apprize,xprYz,3,1,2,2,1,0.333333333,-1,1,-1
approval,938,approval,xpruvL,1,0,1,0,1,-1,-1,-1,-1
approve,939,approve,xpruv,2,0,2,1,1,0,-1,-1,-1
apse,947,apse,@ps,7,3,4,5,2,0.238095238,0.333333333,0.3,1
