from_node,to_node,from_ortho,from_phono,to_ortho,to_phono,type,position,from_phono_length,position_percent
1148,1357,assert,xsRt,avert,xvRt,replace,1,4,0.25
1156,18228,assign,xsYn,ursine,RsYn,replace,0,4,0
1175,5423,aster,@stX,Easter,istX,replace,0,4,0
1175,5863,aster,@stX,ester,EstX,replace,0,4,0
1175,12092,aster,@stX,ouster,WstX,replace,0,4,0
1175,12232,aster,@stX,oyster,OstX,replace,0,4,0
1187,1306,astral,@strL,austral,cstrL,replace,0,5,0
1203,1206,at,@t,ate,et,replace,0,2,0
1203,1286,at,@t,aught,ct,replace,0,2,0
1203,5427,at,@t,eat,it,replace,0,2,0
1203,9252,at,@t,it,It,replace,0,2,0
1203,11777,at,@t,oat,ot,replace,0,2,0
1203,12093,at,@t,out,Wt,replace,0,2,0
1206,1286,ate,et,aught,ct,replace,0,2,0
1206,5427,ate,et,eat,it,replace,0,2,0
1206,9252,ate,et,it,It,replace,0,2,0
1206,11777,ate,et,oat,ot,replace,0,2,0
1206,12093,ate,et,out,Wt,replace,0,2,0
1216,16372,atilt,xtIlt,stilt,stIlt,replace,0,5,0
1220,16264,atoll,@tcl,stall,stcl,replace,0,4,0
1221,1337,atom,@tM,autumn,ctM,replace,0,3,0
1221,9256,atom,@tM,item,YtM,replace,0,3,0
1224,9257,atomize,@txmYz,itemize,YtxmYz,replace,0,6,0
1228,16412,atone,xton,stone,ston,replace,0,4,0
1229,16417,atop,xtap,stop,stap,replace,0,4,0
1230,19285,atrium,etrixm,yttrium,Itrixm,replace,0,6,0
1238,16245,attack,xt@k,stack,st@k,replace,0,4,0
1239,16257,attain,xten,stain,sten,replace,0,4,0
1244,1405,attar,@tX,azure,@ZX,replace,1,3,0.333333333
1244,12085,attar,@tX,otter,atX,replace,0,3,0
1244,12108,attar,@tX,outer,WtX,replace,0,3,0
1244,18255,attar,@tX,utter,^tX,replace,0,3,0
1246,11877,attend,xtEnd,offend,xfEnd,replace,1,5,0.2
1253,16359,attic,@tIk,stick,stIk,replace,0,4,0
1268,1340,auction,ckS|n,auxin,cks|n,replace,2,5,0.4
1273,5462,audibility,cdxbIl|ti,edibility,EdxbIl|ti,replace,0,9,0
1280,5468,audit,cd|t,edit,Ed|t,replace,0,4,0
1281,5469,audition,cdIS|n,edition,IdIS|n,replace,0,6,0
1285,1312,auger,cgX,author,cTX,replace,1,3,0.333333333
1285,5403,auger,cgX,eager,igX,replace,0,3,0
1285,11880,auger,cgX,offer,cfX,replace,1,3,0.333333333
1285,11897,auger,cgX,ogre,ogX,replace,0,3,0
1286,5427,aught,ct,eat,it,replace,0,2,0
1286,9252,aught,ct,it,It,replace,0,2,0
1286,11777,aught,ct,oat,ot,replace,0,2,0
1286,12093,aught,ct,out,Wt,replace,0,2,0
1291,5504,auk,ck,eke,ik,replace,0,2,0
1291,9186,auk,ck,irk,Rk,replace,0,2,0
1291,11771,auk,ck,oak,ok,replace,0,2,0
1292,11904,auld,cld,old,old,replace,0,3,0
1293,5810,aura,crx,era,Irx,replace,0,3,0
1294,1386,aural,crL,awful,cfL,replace,1,3,0.333333333
1294,11989,aural,crL,oral,orL,replace,0,3,0
1297,4169,aureole,criol,creole,kriol,replace,0,5,0
1297,12042,aureole,criol,oriole,oriol,replace,0,5,0
1298,11987,auricle,crIkL,oracle,crxkL,replace,2,5,0.4
1298,13625,auricle,crIkL,prickle,prIkL,replace,0,5,0
1298,17706,auricle,crIkL,trickle,trIkL,replace,0,5,0
1312,5874,author,cTX,ether,iTX,replace,0,3,0
1312,11880,author,cTX,offer,cfX,replace,1,3,0.333333333
1319,16429,auto,cto,stow,sto,replace,0,3,0
1337,9256,autumn,ctM,item,YtM,replace,0,3,0
1340,12225,auxin,cks|n,oxen,aks|n,replace,0,5,0
1348,5923,avaunt,xvcnt,event,xvEnt,replace,2,5,0.4
