Lower,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
incurable,incurable,4,10,554,6,0,0,52,294,71,325870,5,3
incurred,incurred,2,5,688,7,9,0,27,725,74,6547035,5,2
incurring,incurring,3,6,545,7,2,0,6,209,22,582352,5,2
incurs,incurs,2,5,538,7,5,1,4,93,6,357521,5,2
indebted,indebted,3,7,403,9,2,0,59,475,47,726576,6,1
indecision,indecision,4,9,638,9,0,0,22,276,42,266717,6,1
indecisive,indecisive,4,9,690,11,0,0,27,172,31,155912,6,2
indeed,indeed,2,5,520,5,4,1,2065,28190,5450,26948445,5,1
indefinable,indefinable,5,11,878,8,0,0,5,90,5,76505,6,4
indefinite,indefinite,4,9,522,11,0,0,20,538,104,1332966,10,2
indefinitely,indefinitely,5,11,664,11,0,0,119,1328,239,1501553,10,3
indefiniteness,indefiniteness,5,12,1078,11,0,0,0,8,0,77722,10,3
indelible,indelible,4,9,672,9,0,1,14,406,57,310129,7,1
indelibly,indelibly,4,9,722,9,0,1,3,138,15,84208,6,1
indent,indent,2,6,460,7,3,3,6,22,2,1569632,7,1
indenture,indenture,3,7,615,10,2,2,2,41,2,568576,8,1
independence,independence,4,11,682,13,2,0,204,10118,1842,14412488,12,4
independent,independent,4,11,585,12,2,1,477,21396,4328,64171624,12,4
independently,independently,5,13,729,12,0,0,48,2874,251,7464079,12,5
independents,independents,4,12,868,12,2,1,17,1330,785,906674,12,NA
indescribable,indescribable,5,13,792,6,0,0,25,192,45,252746,8,3
indespencible,indespencible,5,13,748,6,1,0,0,0,0,0,10,NA
indeterminable,indeterminable,6,13,727,12,0,0,0,9,0,32906,5,3
indeterminate,indeterminate,5,11,888,12,0,0,18,358,11,587143,5,2
index,index,2,6,630,6,5,3,106,7399,873,242844901,7,1
indexes,indexes,3,8,680,7,2,4,4,569,83,6517144,8,2
indian,indian,3,6,363,7,7,3,175,19216,1291,54649019,7,NA
indians,indians,3,7,659,8,2,5,146,8187,473,9375568,7,NA
indicate,indicate,3,7,680,9,4,4,425,10879,1080,24232402,8,1
indicated,indicated,4,9,660,9,4,5,203,13556,1422,22471844,9,2
indicating,indicating,4,9,619,9,1,1,95,4268,307,8506888,9,2
indication,indication,4,9,690,11,4,2,181,3996,1307,6667902,10,2
indications,indications,4,10,710,11,2,1,57,1435,434,3195599,10,3
indicative,indicative,4,9,575,9,0,0,28,1058,157,2542684,6,2
indicator,indicator,4,8,728,10,4,2,44,2343,230,10846277,9,2
indicators,indicators,4,9,766,10,1,1,19,3445,250,13738694,9,3
indices,indices,3,7,631,6,1,2,2,922,44,5131700,6,1
indict,indict,2,5,445,7,4,3,45,368,208,160138,6,1
indicted,indicted,3,7,452,7,4,5,96,1618,782,1282603,6,2
indictment,indictment,3,9,636,11,2,1,126,2028,908,2041547,10,2
indictments,indictments,3,10,595,11,2,1,22,562,270,416910,10,3
indifference,indifference,3,9,678,11,2,0,55,1295,108,1066924,9,3
indifferent,indifferent,3,9,621,11,2,0,58,1205,109,1169062,9,3
indigence,indigence,3,8,565,8,3,0,0,10,1,31599,8,1
indigenous,indigenous,4,9,630,11,2,0,57,6405,123,8636449,10,4
indignant,indignant,3,9,592,10,0,0,23,389,27,297259,10,1
indignantly,indignantly,4,11,668,10,0,0,2,169,1,104497,10,2
indignation,indignation,4,10,656,8,0,0,24,560,45,572386,7,1
indigo,indigo,3,6,503,6,1,0,16,488,16,3417984,6,1
indirect,indirect,3,7,469,9,1,0,21,2400,129,7661362,8,2
indirection,indirection,4,10,666,9,0,0,1,66,1,144742,5,1
indirectly,indirectly,4,8,549,9,1,0,26,1740,195,3972681,7,3
indiscretion,indiscretion,4,11,753,13,1,1,53,118,24,114572,12,2
indiscriminantly,indiscriminantly,6,16,773,13,1,0,0,3,0,3496,13,NA
indispensable,indispensable,5,13,824,10,1,1,38,1043,84,1822788,10,3
indisputable,indisputable,5,13,757,12,0,1,10,277,41,241980,10,3
indistinguishable,indistinguishable,6,16,927,9,0,0,14,593,30,628262,9,3
individual,individual,5,11,602,11,2,1,596,39673,4441,94815915,12,1
individualism,individualism,7,14,1088,13,0,1,13,850,35,535827,12,2
individualist,individualist,6,13,834,14,0,2,2,120,4,156448,12,2
individualistic,individualistic,7,15,968,14,0,0,2,479,15,266201,11,3
individuality,individuality,7,13,846,12,0,0,43,729,45,969138,9,1
individualize,individualize,5,11,831,14,2,2,4,67,6,69864,12,2
individualized,individualized,5,12,1013,14,2,2,3,1054,45,1542512,12,3
individually,individually,5,10,704,11,1,0,65,2448,250,7129413,10,2
individuals,individuals,5,12,720,12,2,3,224,25608,2937,45432866,12,2
individuation,individuation,6,13,913,10,0,0,0,176,1,91173,9,2
indoctrinating,indoctrinating,5,13,713,13,1,0,4,39,9,25899,13,2
indoctrination,indoctrination,5,13,1107,13,0,0,15,342,44,258499,11,2
indolence,indolence,3,8,665,8,3,1,1,83,0,77129,8,3
indonesia,indonesia,4,8,728,10,2,1,17,2808,587,18010893,9,NA
indonesian,indonesian,4,9,644,11,3,3,3,1075,214,5243647,10,NA
indoor,indoor,2,5,389,7,3,1,68,2603,146,13875813,6,1
indoors,indoors,2,6,688,7,2,1,126,1290,149,2389570,6,1
induce,induce,2,5,708,7,2,3,82,1162,92,2891148,6,1
induced,induced,2,6,566,7,1,4,63,2510,142,12566340,6,2
inducement,inducement,3,9,677,11,1,1,13,153,22,302470,10,2
inducements,inducements,3,10,679,11,1,1,7,165,16,147350,10,3
induct,induct,2,6,454,7,3,2,3,29,9,120717,7,1
inductees,inductees,3,8,751,9,1,1,0,59,12,204955,8,3
induction,induction,3,8,761,10,2,1,37,897,34,6267342,9,2
inductions,inductions,3,9,689,10,2,1,1,37,0,92022,9,3
