lower,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,Item,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
varied,18341,varied,vErid,3,2,1,1,2,varied,2,5,511,6,15,1,41,4422,131,7013799,5,2
innate,8844,innate,Inet,4,2,2,2,2,innate,2,4,599,7,9,1,39,907,61,1052902,5,1
sloth,15832,sloth,slcT,3,2,1,1,2,sloth,1,4,529,6,15,8,74,290,52,519816,4,1
never,11530,never,nEvX,4,3,1,3,1,never,2,4,393,6,17,23,69490,160644,39746,149574220,5,1
go,7254,go,go,26,16,10,17,9,go,1,2,290,3,145,47,193445,239504,102899,421086358,3,1
hemp,7808,hemp,hEmp,4,2,2,1,3,hemp,1,4,419,5,22,15,17,520,50,2200098,5,1
hot,8056,hot,hat,28,26,2,23,5,hot,1,3,394,4,131,48,9682,33900,4806,159296822,4,1
of,11874,of,xv,4,1,3,1,3,of,1,2,370,3,32,32,590439,6670388,1244477,13151942776,3,1
move,11215,move,muv,8,5,3,1,7,move,1,3,385,5,30,26,21325,52746,13243,70118763,4,1
lore,10120,lore,lor,33,29,4,21,12,lore,1,3,408,5,142,45,34,808,63,1877718,4,1
dull,5342,dull,d^l,23,22,1,13,10,dull,1,3,322,5,109,26,616,3007,225,3211758,4,1
corn,3962,corn,korn,20,14,6,11,9,corn,1,4,410,5,93,38,725,9077,780,10726347,5,1
muck,11222,muck,m^k,25,22,3,14,11,muck,1,3,460,5,106,25,97,591,52,1305552,4,1
arise,1027,arise,xrYz,7,4,3,4,3,arise,2,3,668,6,73,15,151,3062,199,8337093,4,1
bout,2106,bout,bWt,23,20,3,20,3,bout,1,3,363,5,69,20,974,1461,147,3363878,4,1
grab,7327,grab,gr@b,8,7,1,3,5,grab,1,4,318,5,41,23,3614,5666,1021,7611410,5,1
polio,13234,polio,polio,3,1,2,2,1,polio,3,5,425,5,14,13,45,647,198,1298845,5,1
sprain,16180,sprain,spren,2,1,1,1,1,sprain,1,5,542,7,12,4,43,116,10,241707,6,1
spray,16184,spray,spre,7,4,3,2,5,spray,1,4,435,6,14,5,492,5135,485,15148400,5,1
camber,2491,camber,k@mbX,5,3,2,4,1,camber,2,5,549,6,20,12,0,62,3,368461,6,1
pox,13431,pox,paks,7,5,2,5,2,pox,1,4,549,3,66,27,75,249,46,614286,4,1
dent,4689,dent,dEnt,19,16,3,12,7,dent,1,4,335,5,55,33,180,1163,151,3053258,5,1
shirk,15584,shirk,SRk,16,14,2,14,2,shirk,1,3,500,6,89,12,13,127,21,194196,4,1
sulk,16663,sulk,s^lk,7,5,2,4,3,sulk,1,4,575,5,18,17,38,81,4,95404,5,1
crone,4213,crone,kron,14,9,5,6,8,crone,1,4,439,6,69,27,22,124,16,229759,5,1
coarse,3348,coarse,kors,16,12,4,5,11,coarse,1,4,414,7,85,5,69,1431,39,2768915,5,1
sex,15500,sex,sEks,6,5,1,4,2,sex,1,4,489,4,72,30,7761,33017,7536,320113308,5,1
gill,7161,gill,gIl,28,24,4,23,5,gill,1,3,275,5,99,34,87,1272,78,3673631,4,1
refute,14463,refute,rIfyut,3,2,1,1,2,refute,2,6,418,7,2,7,34,370,74,556518,7,1
woodman,19147,woodman,wUdmxn,3,1,2,2,1,woodman,2,6,419,8,20,4,18,80,1,481919,7,2
sip,15726,sip,sIp,28,25,3,21,7,sip,1,3,417,4,83,44,260,2026,108,5433773,4,1
flat,6509,flat,fl@t,15,13,2,3,12,flat,1,4,450,5,42,23,1337,13571,1332,46695552,5,1
barber,1534,barber,barbX,6,4,2,2,4,barber,2,5,469,7,36,22,279,1653,337,4241984,6,1
lime,9934,lime,lYm,23,19,4,12,11,lime,1,3,503,5,65,31,168,3335,125,5169437,4,1
halves,7606,halves,h@vz,7,4,3,4,3,halves,1,4,500,6,18,8,56,1160,24,1070410,4,1
straddle,16430,straddle,str@dL,2,1,1,1,1,straddle,2,7,589,9,5,3,26,244,29,289396,8,1
knife,9535,knife,nYf,8,7,1,4,4,knife,1,3,390,6,36,3,2387,8136,1014,11299263,4,1
walk,18768,walk,wck,15,14,1,12,3,walk,1,3,377,5,113,29,11009,30064,6234,39132769,4,1
brat,2147,brat,br@t,11,8,3,2,9,brat,1,4,259,5,47,26,317,375,50,889407,5,1
paunch,12567,paunch,pcnC,5,4,1,4,1,paunch,1,4,419,7,10,4,1,132,5,38730,5,1
gasp,7023,gasp,g@sp,6,2,4,4,2,gasp,1,4,409,5,21,17,88,1003,72,1065362,5,1
sweat,16804,sweat,swEt,9,5,4,3,6,sweat,1,4,470,6,24,10,1115,6179,467,4552290,5,1
ill,8270,ill,Il,31,15,16,23,8,ill,1,2,459,4,109,28,1085,13142,2559,16153052,3,1
mitt,10977,mitt,mIt,33,27,6,23,10,mitt,1,3,321,5,99,23,70,3567,2815,693498,4,1
