Item,Experiment,Release,Subject,Trial,List,WordRunLength,ExperimentRunID,RT,Session,idx,ortho,phono,all,replace,delete_insert,pos_l50,pos_m50,NumSylls,NumPhones,Duration,OrthUP,PhonND,OrthND,FreqSUBTLEX,FreqCOCA,FreqCOCAspok,FreqGoogle,PhonUP,NumMorphs
sop,MALD1_sR,MALD1,15302,466,words63,1,15302_63,738,63,16001,sop,sap,23,20,3,18,5,1,3,423,4,84,45,14,206,13,1045740,4,1
spend,MALD1_sR,MALD1,15302,407,words63,1,15302_63,749,63,16098,spend,spEnd,5,3,2,3,2,1,5,668,6,18,9,4757,24466,6789,26713780,6,1
spoiled,MALD1_sR,MALD1,15302,765,words63,2,15302_63,712,63,16157,spoiled,spOld,3,2,1,1,2,1,5,556,7,7,2,432,1213,174,1403276,5,2
spoke,MALD1_sR,MALD1,15302,667,words63,2,15302_63,636,63,16159,spoke,spok,9,7,2,4,5,1,4,559,6,20,10,1970,19237,5232,11577917,5,1
spoon,MALD1_sR,MALD1,15302,681,words63,5,15302_63,693,63,16171,spoon,spun,11,10,1,2,9,1,4,655,6,21,10,388,3990,198,4000675,5,1
spore,MALD1_sR,MALD1,15302,153,words63,3,15302_63,927,63,16174,spore,spor,13,10,3,6,7,1,4,555,6,40,14,7,172,12,589962,5,1
swept,MALD1_sR,MALD1,15302,40,words63,3,15302_63,766,63,16815,swept,swEpt,3,1,2,2,1,1,5,471,4,11,7,243,4663,597,2612332,4,1
tinker,MALD1_sR,MALD1,15302,129,words63,1,15302_63,764,63,17384,tinker,tIGkX,4,3,1,1,3,2,5,549,7,15,15,113,576,71,983290,6,1
tumble,MALD1_sR,MALD1,15302,555,words63,3,15302_63,701,63,17824,tumble,t^mbL,8,5,3,7,1,2,6,411,7,15,13,79,1034,160,1925795,7,1
vet,MALD1_sR,MALD1,15302,529,words63,3,15302_63,753,63,18492,vet,vEt,16,14,2,13,3,1,3,415,4,62,30,296,1319,214,4985571,4,1
what,MALD1_sR,MALD1,15302,106,words63,1,15302_63,692,63,18916,what,hwat,7,5,2,3,4,1,3,321,5,61,19,501965,755309,320102,812428199,4,1
acre,MALD1_sR,MALD1,15308,42,words22,3,15308_22,793,22,186,acre,ekX,3,1,2,2,1,2,3,558,5,55,17,93,4231,260,6661571,4,1
bag,MALD1_sR,MALD1,15308,656,words22,2,15308_22,787,22,1434,bag,b@g,28,26,2,17,11,1,3,439,4,74,39,4796,17692,1987,40683161,4,1
blush,MALD1_sR,MALD1,15308,400,words22,4,15308_22,674,22,1976,blush,bl^S,7,6,1,5,2,1,4,409,6,14,10,136,1104,103,1722003,5,1
cheek,MALD1_sR,MALD1,15308,751,words22,1,15308_22,643,22,3005,cheek,Cik,21,19,2,16,5,1,3,341,6,76,10,365,4412,267,2681244,4,1
chuck,MALD1_sR,MALD1,15308,619,words22,4,15308_22,642,22,3149,chuck,C^k,20,17,3,14,6,1,3,381,6,55,9,1096,4081,1506,9576652,4,1
cider,MALD1_sR,MALD1,15308,564,words22,1,15308_22,875,22,3166,cider,sYdX,8,5,3,5,3,2,4,518,4,69,8,97,1206,64,1743446,5,1
clam,MALD1_sR,MALD1,15308,264,words22,2,15308_22,924,22,3229,clam,kl@m,16,11,5,4,12,1,4,569,5,58,24,200,512,62,1619241,5,1
clay,MALD1_sR,MALD1,15308,169,words22,2,15308_22,893,22,3265,clay,kle,10,7,3,6,4,1,3,318,5,55,19,612,5733,427,13359113,4,1
clog,MALD1_sR,MALD1,15308,680,words22,1,15308_22,763,22,3310,clog,klag,6,5,1,2,4,1,4,469,5,24,13,41,336,43,791336,5,1
crate,MALD1_sR,MALD1,15308,201,words22,1,15308_22,1235,22,4130,crate,kret,16,13,3,9,7,1,4,419,6,46,19,209,750,47,2337346,5,1
dead,MALD1_sR,MALD1,15308,689,words22,3,15308_22,712,22,4473,dead,dEd,24,22,2,15,9,1,3,359,5,74,22,22898,38019,7974,48400230,4,1
dozen,MALD1_sR,MALD1,15308,795,words22,1,15308_22,734,22,5233,dozen,d^zN,2,1,1,1,1,2,5,480,6,11,10,1231,14001,1913,9776227,6,1
drag,MALD1_sR,MALD1,15308,605,words22,3,15308_22,590,22,5239,drag,dr@g,7,6,1,3,4,1,4,417,5,21,14,1349,4424,579,9151134,5,1
fairy,MALD1_sR,MALD1,15308,398,words22,2,15308_22,916,22,6178,fairy,f@ri,14,11,3,11,3,2,4,469,6,131,10,851,2165,351,6437994,5,2
fit,MALD1_sR,MALD1,15308,438,words22,1,15308_22,719,22,6465,fit,fIt,28,25,3,20,8,1,3,235,4,79,32,2937,19475,2436,42360098,4,1
gill,MALD1_sR,MALD1,15308,41,words22,2,15308_22,738,22,7161,gill,gIl,28,24,4,23,5,1,3,275,5,99,34,87,1272,78,3673631,4,1
glide,MALD1_sR,MALD1,15308,211,words22,2,15308_22,659,22,7210,glide,glYd,5,4,1,3,2,1,4,396,6,22,7,120,812,64,1732328,5,1
gloom,MALD1_sR,MALD1,15308,448,words22,1,15308_22,870,22,7224,gloom,glum,9,7,2,6,3,1,4,373,6,21,6,59,1069,105,878238,5,1
gray,MALD1_sR,MALD1,15308,399,words22,3,15308_22,755,22,7388,gray,gre,18,8,10,7,11,1,3,449,5,61,31,1077,16298,1305,21425871,4,1
hardy,MALD1_sR,MALD1,15308,25,words22,1,15308_22,823,22,7656,hardy,hardi,5,3,2,1,4,2,5,399,6,24,11,188,2674,240,4748962,6,1
hawk,MALD1_sR,MALD1,15308,687,words22,1,15308_22,739,22,7705,hawk,hck,18,14,4,13,5,1,3,382,5,89,14,650,2431,319,6531503,4,1
hay,MALD1_sR,MALD1,15308,773,words22,1,15308_22,780,22,7709,hay,he,26,22,4,15,11,1,2,273,4,158,47,325,2166,136,5692533,3,1
inch,MALD1_sR,MALD1,15308,108,words22,2,15308_22,747,22,8529,inch,InC,8,1,7,6,2,1,3,429,5,33,18,631,18072,831,35632579,4,1
lame,MALD1_sR,MALD1,15308,492,words22,3,15308_22,815,22,9618,lame,lem,28,23,5,18,10,1,3,364,5,87,41,557,1120,359,3018425,4,1
marine,MALD1_sR,MALD1,15308,116,words22,3,15308_22,816,22,10453,marine,mXin,7,5,2,4,3,2,4,485,7,32,24,718,9545,1781,37146628,5,1
meter,MALD1_sR,MALD1,15308,250,words22,1,15308_22,932,22,10764,meter,mitX,11,8,3,8,3,2,4,599,6,68,26,317,4244,389,22874915,5,1
mystery,MALD1_sR,MALD1,15308,608,words22,1,15308_22,771,22,11339,mystery,mIstXi,4,2,2,2,2,3,6,520,7,9,2,1171,7441,1772,19281540,7,1
naval,MALD1_sR,MALD1,15308,120,words22,1,15308_22,783,22,11425,naval,nevL,5,4,1,1,4,2,5,459,5,12,10,292,3333,683,8091902,5,2
node,MALD1_sR,MALD1,15308,360,words22,1,15308_22,752,22,11604,node,nod,20,17,3,13,7,1,3,390,5,89,23,25,903,31,22292005,4,1
park,MALD1_sR,MALD1,15308,494,words22,5,15308_22,570,22,12435,park,park,18,12,6,9,9,1,4,369,5,52,29,3678,42050,3560,141555213,5,1
paw,MALD1_sR,MALD1,15308,272,words22,2,15308_22,826,22,12573,paw,pc,19,15,4,11,8,1,2,357,4,78,37,159,1030,39,2007280,3,1
pew,MALD1_sR,MALD1,15308,280,words22,1,15308_22,1239,22,12848,pew,pyu,9,5,4,7,2,1,3,265,4,53,31,53,1478,259,1115032,4,1
pox,MALD1_sR,MALD1,15308,268,words22,1,15308_22,912,22,13431,pox,paks,7,5,2,5,2,1,4,549,3,66,27,75,249,46,614286,4,1
queer,MALD1_sR,MALD1,15308,256,words22,1,15308_22,739,22,14084,queer,kwIr,10,9,1,2,8,1,4,418,6,29,2,296,928,43,2717979,5,1
ramp,MALD1_sR,MALD1,15308,652,words22,1,15308_22,603,22,14204,ramp,r@mp,14,10,4,10,4,1,4,365,5,40,29,147,1831,210,4374407,5,1
sector,MALD1_sR,MALD1,15308,493,words22,4,15308_22,1115,22,15350,sector,sEktX,9,6,3,8,1,2,5,608,7,32,8,360,10372,1975,48747184,6,1
shod,MALD1_sR,MALD1,15308,419,words22,1,15308_22,956,22,15591,shod,Sad,18,15,3,13,5,1,3,542,5,72,11,6,100,8,201094,4,1
smash,MALD1_sR,MALD1,15308,44,words22,1,15308_22,908,22,15851,smash,sm@S,4,2,2,3,1,1,4,577,6,10,6,421,1210,199,3192305,5,1
spring,MALD1_sR,MALD1,15308,17,words22,3,15308_22,795,22,16189,spring,sprIG,5,4,1,2,3,2,5,503,7,12,15,1597,25633,2229,64816752,6,1
squash,MALD1_sR,MALD1,15308,139,words22,1,15308_22,817,22,16220,squash,skwaS,5,3,2,2,3,1,5,612,7,5,2,223,2311,103,3985349,6,1
