"","name","ortho","phono"
"2809","2809","cecum","sikM"
"2810","2810","cedar","sidX"
"2811","2811","cede","sid"
"2812","2812","ceiling","silIG"
"2819","2819","celery","sElXi"
"2822","2822","cell","sEl"
"2823","2823","cellar","sElX"
"2831","2831","celt","sElt"
"2839","2839","censer","sEnsX"
"2845","2845","cent","sEnt"
"2851","2851","center","sEntX"
"2893","2893","Chablis","S@bli"
"2901","2901","chair","CEr"
"2904","2904","chalet","S@le"
"2906","2906","chalk","Cck"
"2909","2909","challis","S@li"
"2914","2914","chamois","S@mi"
"2916","2916","champ","C@mp"
"2932","2932","chant","C@nt"
"2935","2935","chanty","S@nti"
"2936","2936","chaos","keas"
"2938","2938","chap","C@p"
"2940","2940","chapel","C@pL"
"2946","2946","chaps","C@ps"
"2947","2947","chapter","C@ptX"
"2948","2948","char","Car"
"2957","2957","chard","Card"
"2958","2958","charge","CarJ"
"2959","2959","charger","CarJX"
"2966","2966","charm","Carm"
"2968","2968","chart","Cart"
"2969","2969","charter","CartX"
"2972","2972","chary","C@ri"
"2973","2973","chase","Ces"
"2974","2974","chaser","CesX"
"2977","2977","chaste","Cest"
"2978","2978","chasten","CesN"
"2982","2982","chat","C@t"
"2985","2985","chattel","C@tL"
"2986","2986","chatter","C@tX"
"2988","2988","chatty","C@ti"
"2996","2996","cheat","Cit"
"3005","3005","cheek","Cik"
"3006","3006","cheeky","Ciki"
"3007","3007","cheer","CIr"
"3009","3009","cheery","CIri"
"3010","3010","cheese","Ciz"
"3011","3011","chef","SEf"
"3012","3012","chela","kilx"
"3019","3019","chenille","Sxnil"
"3022","3022","cherry","CEri"
"3026","3026","chess","CEs"
"3027","3027","chest","CEst"
"3033","3033","chew","Cu"
"3037","3037","chic","Sik"
"3039","3039","chick","CIk"
"3044","3044","chid","CId"
"3045","3045","chidden","CIdN"
"3061","3061","chill","CIl"
"3065","3065","chimp","CImp"
"3067","3067","chin","CIn"
"3071","3071","chink","CIGk"
"3074","3074","chip","CIp"
"3076","3076","chipper","CIpX"
"3083","3083","chit","CIt"
"3089","3089","chloral","klorL"
"3100","3100","choke","Cok"
"3106","3106","choose","Cuz"
"3107","3107","choosey","Cuzi"
"3112","3112","choral","korL"
"3113","3113","chord","kord"
"3114","3114","chore","Cor"
"3119","3119","chorus","kor|s"
"3133","3133","chrome","krom"
"3135","3135","chromo","kromo"
"3158","3158","churl","CRl"
"3159","3159","churn","CRn"
"3160","3160","chute","Sut"
"3166","3166","cider","sYdX"
"3169","3169","cinch","sInC"
"3207","3207","cistern","sIstXn"
"3210","3210","cite","sYt"
"3216","3216","city","sIti"
"3224","3224","clack","kl@k"
"3225","3225","clad","kl@d"
"3226","3226","claim","klem"
"3229","3229","clam","kl@m"
"3230","3230","clamber","kl@mbX"
"3231","3231","clammy","kl@mi"
"3232","3232","clamor","kl@mX"
"3233","3233","clamp","kl@mp"
"3234","3234","clan","kl@n"
"3236","3236","clang","kl@G"
"3237","3237","clangor","kl@GX"
"3238","3238","clank","kl@Gk"
"3239","3239","clap","kl@p"
"3241","3241","clapper","kl@pX"
"3247","3247","clarion","kl@rixn"
"3249","3249","clash","kl@S"
"3250","3250","clasp","kl@sp"
"3251","3251","class","kl@s"
"3258","3258","clatter","kl@tX"
"3259","3259","clause","klcz"
"3264","3264","claw","klc"
"3265","3265","clay","kle"
"3266","3266","clean","klin"
"3269","3269","clear","klIr"
"3273","3273","cleat","klit"
"3275","3275","cleave","kliv"
"3276","3276","clef","klEf"
"3277","3277","cleft","klEft"
"3284","3284","clerk","klRk"
"3286","3286","clew","klu"
"3288","3288","click","klIk"
"3296","3296","climb","klYm"
"3297","3297","clinch","klInC"
"3298","3298","cling","klIG"
"3301","3301","clink","klIGk"
"3302","3302","clinker","klIGkX"
"3303","3303","clip","klIp"
"3305","3305","clique","klik"
"3306","3306","cloak","klok"
"3308","3308","clock","klak"
"3309","3309","clod","klad"
"3313","3313","clop","klap"
"3318","3318","clot","klat"
"3319","3319","cloth","klcT"
"3320","3320","clothe","kloD"
"3326","3326","clout","klWt"
"3343","3343","coal","kol"
"3348","3348","coarse","kors"
"3349","3349","coarsen","korsN"
"3350","3350","coast","kost"
"3352","3352","coat","kot"
"3354","3354","coax","koks"
"3363","3363","coca","kokx"
"3367","3367","cock","kak"
"3374","3374","cockeye","kakY"
"3375","3375","cockle","kakL"
"3376","3376","cockney","kakni"
"3377","3377","cocky","kaki"
"3378","3378","coco","koko"
"3381","3381","cod","kad"
"3382","3382","coda","kodx"
"3383","3383","coddle","kadL"
"3384","3384","code","kod"
"3398","3398","coerce","koRs"
"3402","3402","coffee","kcfi"
"3403","3403","coffer","kcfX"
"3417","3417","coheir","koEr"
"3429","3429","coke","kok"
"3430","3430","cola","kolx"
"3432","3432","cold","kold"
"3434","3434","colic","kalIk"
"3438","3438","collapse","kxl@ps"
"3440","3440","collate","kolet"
"3443","3443","colleague","kalig"
"3447","3447","colleen","kalin"
"3451","3451","collide","kxlYd"
"3452","3452","collie","kali"
"3462","3462","cologne","kxlon"
"3479","3479","colt","kolt"
"3484","3484","coma","komx"
"3485","3485","comb","kom"
"3489","3489","comber","komX"
"3520","3520","commend","kxmEnd"
"3634","3634","conch","kaGk"
"3636","3636","conchs","kaGks"
"3677","3677","cone","kon"
"3679","3679","coney","koni"
"3751","3751","conquer","kaGkX"
"3913","3913","coo","ku"
"3917","3917","cool","kul"
"3919","3919","coolie","kuli"
"3920","3920","coon","kun"
"3921","3921","coop","kup"
"3922","3922","cooper","kupX"
"3926","3926","coot","kut"
"3927","3927","cootie","kuti"
"3928","3928","cop","kap"
"3930","3930","cope","kop"
"3934","3934","copper","kapX"
"3937","3937","coppice","kapxs"
"3939","3939","copse","kaps"
"3943","3943","copy","kapi"
"3948","3948","corbel","korbL"
"3949","3949","cordial","korJL"
"3951","3951","cordially","korJLi"
"3954","3954","cordon","kordN"
"3958","3958","core","kor"
"3960","3960","cork","kork"
"3962","3962","corn","korn"
"3963","3963","cornea","kornix"
"3964","3964","corner","kornX"
"3967","3967","cornice","korn|s"
"3970","3970","corny","korni"
"3971","3971","corolla","kXolx"
"3983","3983","corpse","korps"
"3985","3985","corpus","korpxs"
"3996","3996","corrode","kXod"
"4023","4023","cost","kcst"
"4027","4027","cot","kat"
"4032","4032","cottar","katX"
"4033","4033","cotton","katN"
"4036","4036","couch","kWC"
"4039","4039","cough","kcf"
"4064","4064","coupe","kupe"
"4071","4071","courier","kRiX"
"4072","4072","court","kort"
"4089","4089","cow","kW"
"4090","4090","coward","kWXd"
"4092","4092","cower","kWX"
"4094","4094","cowl","kWl"
"4095","4095","cowlick","kWlIk"
"4096","4096","cowling","kWlIG"
"4105","4105","crab","kr@b"
"4107","4107","crabby","kr@bi"
"4108","4108","crack","kr@k"
