"","name","ortho","phono"
"9349","9349","jockey","Jaki"
"9356","9356","joggle","JagL"
"9357","9357","johnny","Jani"
"9359","9359","joint","JOnt"
"9360","9360","joist","JOst"
"9364","9364","jolly","Jali"
"9365","9365","jolt","Jolt"
"9369","9369","jostle","JasL"
"9371","9371","jounce","JWns"
"9372","9372","journal","JRnL"
"9376","9376","journey","JRni"
"9377","9377","joust","JWst"
"9397","9397","juggle","J^gL"
"9409","9409","jump","J^mp"
"9417","9417","junk","J^Gk"
"9425","9425","juror","JUrX"
"9426","9426","just","J^st"
"9438","9438","kaiser","kYzX"
"9460","9460","kelp","kElp"
"9461","9461","Kelt","kElt"
"9463","9463","kennel","kEnL"
"9464","9464","kepi","kepi"
"9465","9465","kept","kEpt"
"9469","9469","kettle","kEtL"
"9470","9470","khaki","k@ki"
"9482","9482","kiln","kIln"
"9483","9483","kilo","kilo"
"9487","9487","kilt","kIlt"
"9491","9491","kind","kYnd"
"9502","9502","kink","kIGk"
"9508","9508","kipper","kIpX"
"9509","9509","kirk","kIrk"
"9510","9510","kirtle","kRtL"
"9519","9519","kitten","kItN"
"9520","9520","kitty","kIti"
"9530","9530","kneeled","nild"
"9532","9532","knelt","nElt"
"9538","9538","knives","nYvz"
"9540","9540","knobbed","nabd"
"9541","9541","knobby","nabi"
"9550","9550","knuckle","n^kL"
"9558","9558","kosher","koSX"
"9568","9568","label","lebL"
"9571","9571","labor","lebX"
"9585","9585","lackey","l@ki"
"9588","9588","lacquer","l@kX"
"9594","9594","lacy","lesi"
"9596","9596","ladder","l@dX"
"9597","9597","laddie","l@di"
"9598","9598","laden","ledN"
"9600","9600","ladle","ledL"
"9601","9601","lady","ledi"
"9604","9604","lager","lagX"
"9611","9611","laird","lErd"
"9625","9625","lamp","l@mp"
"9629","9629","lance","l@ns"
"9632","9632","land","l@nd"
"9648","9648","lank","l@Gk"
"9660","9660","lapse","l@ps"
"9664","9664","larch","larC"
"9665","9665","lard","lard"
"9667","9667","large","larJ"
"9671","9671","lark","lark"
"9682","9682","lasso","l@so"
"9683","9683","last","l@st"
"9694","9694","lather","l@DX"
"9695","9695","Latin","l@tN"
"9699","9699","latter","l@tX"
"9706","9706","launch","lcnC"
"9709","9709","laurel","lcrL"
"9710","9710","lava","lavx"
"9722","9722","lax","l@ks"
"9730","9730","lazar","l@zX"
"9732","9732","lazy","lezi"
"9737","9737","leaden","lEdN"
"9750","9750","leapt","lipt"
"9752","9752","learned","lRnd"
"9756","9756","least","list"
"9757","9757","leather","lEDX"
"9760","9760","leaves","livz"
"9767","9767","ledger","lEJX"
"9769","9769","leery","lIri"
"9773","9773","left","lEft"
"9778","9778","legal","ligL"
"9789","9789","legged","lEgd"
"9804","9804","leisure","liZX"
"9811","9811","lend","lEnd"
"9818","9818","lens","lEnz"
"9819","9819","lent","lEnt"
"9825","9825","leper","lEpX"
"9832","9832","lessee","lEsi"
"9833","9833","lessen","lEsN"
"9835","9835","lest","lEst"
"9838","9838","lethal","liTL"
"9841","9841","letter","lEtX"
"9849","9849","leva","lEvx"
"9850","9850","levee","lEvi"
"9851","9851","level","lEvL"
"9853","9853","lever","lEvX"
"9866","9866","libel","lYbL"
"9895","9895","lido","lido"
"9898","9898","lieder","lidX"
"9905","9905","lifer","lYfX"
"9907","9907","lift","lIft"
"9911","9911","lighten","lYtN"
"9912","9912","lighter","lYtX"
"9916","9916","lights","lYts"
"9927","9927","lilt","lIlt"
"9928","9928","lily","lIli"
"9943","9943","limp","lImp"
"9945","9945","limy","lYmi"
"9956","9956","liner","lYnX"
"9967","9967","link","lIGk"
"9973","9973","lint","lInt"
"9980","9980","lipped","lIpt"
"9985","9985","liqueur","lIkR"
"9989","9989","liquor","lIkX"
"9990","9990","lira","lIrx"
"9992","9992","lisp","lIsp"
"9994","9994","list","lIst"
"9995","9995","listen","lIsN"
"10020","10020","litre","litX"
"10021","10021","litter","lItX"
"10022","10022","little","lItL"
"10034","10034","liver","lIvX"
"10038","10038","lives","lYvz"
"10043","10043","llama","lamx"
"10055","10055","loaves","lovz"
"10057","10057","lobar","lobX"
"10058","10058","lobby","labi"
"10061","10061","local","lokL"
"10070","10070","locker","lakX"
"10080","10080","lodger","laJX"
"10081","10081","loft","lcft"
"10094","10094","logy","logi"
"10096","10096","loiter","lOtX"
"10114","10114","loosen","lusN"
"10119","10119","lord","lord"
"10122","10122","lorn","lorn"
"10123","10123","lorry","lcri"
"10127","10127","lost","lcst"
"10133","10133","lounge","lWnJ"
"10136","10136","lousy","lWzi"
"10138","10138","louvre","luvX"
"10146","10146","lox","laks"
"10150","10150","lubber","l^bX"
"10162","10162","lucky","l^ki"
"10164","10164","lucre","lukX"
"10181","10181","lump","l^mp"
"10184","10184","lunch","l^nC"
"10190","10190","lunge","l^nJ"
"10198","10198","lust","l^st"
"10208","10208","lymph","lImf"
"10210","10210","lynch","lInC"
"10236","10236","madam","m@dM"
"10239","10239","madden","m@dN"
"10240","10240","madder","m@dX"
"10289","10289","mailed","meld"
"10300","10300","major","meJX"
"10317","10317","Malay","mxle"
"10340","10340","mallow","m@lo"
"10346","10346","malt","mclt"
"10348","10348","mama","mamx"
"10350","10350","mammal","m@mL"
"10378","10378","mange","menJ"
"10402","10402","manna","m@nx"
"10403","10403","manned","m@nd"
"10405","10405","manner","m@nX"
"10410","10410","manse","m@ns"
"10429","10429","many","mEni"
"10431","10431","Maori","mWri"
"10433","10433","maple","mepL"
"10440","10440","march","marC"
"10444","10444","marge","marJ"
"10459","10459","mark","mark"
"10467","10467","marl","marl"
"10482","10482","marrow","m@ro"
"10483","10483","marry","m@ri"
"10484","10484","Mars","marz"
"10485","10485","marsh","marS"
"10489","10489","mart","mart"
"10505","10505","mask","m@sk"
"10507","10507","mason","mesN"
"10518","10518","mast","m@st"
"10558","10558","matter","m@tX"
"10580","10580","maya","mayx"
"10582","10582","maybe","mebi"
"10589","10589","mazy","mezi"
"10593","10593","meadow","mEdo"
"10596","10596","meagre","migX"
"10603","10603","meant","mEnt"
"10611","10611","mecca","mEkx"
"10617","10617","medal","mEdL"
"10652","10652","meld","mEld"
"10653","10653","melee","mele"
